Latitude,Longitude,State,"April 1, 2010 - Census",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
32.806671,-86.79113,Alabama,4779736,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,577737
61.370716,-152.404419,Alaska,710231,713906,722038,730399,737045,736307,737547,741504,739786,626299
33.729759,-111.431221,Arizona,6392017,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,702455
34.969704,-92.373123,Arkansas,2915918,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,737438
36.116203,-119.681564,California,37253956,37320903,37641823,37960782,38280824,38625139,38953142,39209127,39399349,760077
39.059811,-105.311104,Colorado,5029196,5048281,5121771,5193721,5270482,5351218,5452107,5540921,5615902,882235
41.597782,-72.755371,Connecticut,3574097,3579125,3588023,3594395,3594915,3594783,3587509,3578674,3573880,967171
39.318523,-75.507141,Delaware,897934,899595,907316,915188,923638,932596,941413,949216,957078,1057315
38.897438,-77.026817,District of Columbia,601723,605085,619602,634725,650431,662513,675254,686575,695691,1062305
27.766279,-81.686783,Florida,18801310,18845785,19093352,19326230,19563166,19860330,20224249,20629982,20976812,1338404
33.040619,-83.643074,Georgia,9687653,9711810,9801578,9901496,9973326,10069001,10181111,10304763,10413055,1356458
21.094318,-157.498337,Hawaii,1360301,1363963,1379252,1394905,1408453,1414862,1422484,1428105,1424203,1420491
44.240459,-114.478828,Idaho,1567582,1570773,1583828,1595441,1611530,1631479,1651523,1682930,1718904,1754208
40.349457,-88.986137,Illinois,12830632,12840762,12867291,12884119,12898269,12888962,12864342,12826895,12786196,1805832
39.849426,-86.258278,Indiana,6483802,6490436,6516045,6537640,6568367,6593533,6608296,6633344,6660082,1929268
42.011539,-93.210526,Iowa,3046355,3050767,3066054,3076097,3093078,3109504,3121460,3131785,3143637,2095428
38.5266,-96.726486,Kansas,2853118,2858213,2869035,2885361,2893510,2900896,2909502,2911263,2910689,2911505
37.66814,-84.670067,Kentucky,4339367,4348200,4369488,4386381,4404817,4414483,4425999,4438229,4453874,2986530
31.169546,-91.867805,Louisiana,4533372,4544532,4575184,4600814,4624577,4644204,4664851,4678215,4670818,3013825
44.693947,-69.381927,Maine,1328361,1327632,1328150,1327691,1328196,1330760,1328484,1331370,1335063,3034392
39.063946,-76.802101,Maryland,5773552,5788642,5838991,5887072,5923704,5958165,5986717,6004692,6024891,3156145
42.230171,-71.530106,Massachusetts,6547629,6566431,6613149,6663158,6713944,6763652,6795891,6826022,6863246,3161105
43.326618,-84.536095,Michigan,9883640,9877535,9881521,9896930,9913349,9930589,9932573,9951890,9976447,3572665
45.694454,-93.900192,Minnesota,5303925,5310843,5345668,5376550,5413693,5451522,5482503,5523409,5568155,3943079
32.741646,-89.678696,Mississippi,2967297,2970536,2978470,2983767,2988797,2990623,2988693,2988298,2989663,4190713
38.456085,-92.288368,Missouri,5988927,5995976,6009641,6024081,6040658,6056293,6071745,6087203,6108612,4468402
46.921925,-110.454353,Montana,989415,990722,997221,1003754,1013564,1021891,1030503,1040863,1053090,4659978
41.12537,-98.268082,Nebraska,1826341,1829536,1840538,1853323,1865414,1879522,1891507,1905924,1917575,4887871
38.313515,-117.055374,Nevada,2700551,2702464,2712799,2744566,2776972,2819012,2868666,2919772,2972405,5084127
43.452492,-71.563896,New Hampshire,1316470,1316777,1319815,1323962,1326408,1333223,1336294,1342373,1349767,5611179
40.298904,-74.521011,New Jersey,8791894,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,5695564
34.840515,-106.248482,New Mexico,2059179,2064588,2080395,2087549,2092792,2090342,2090211,2092789,2093395,5813568
42.165726,-74.948051,New York,19378102,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,6042718
35.630066,-79.806419,North Carolina,9535483,9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,6126452
47.528912,-99.784012,North Dakota,672591,674710,685136,701116,721999,737382,754022,754353,755176,6691878
40.388783,-82.764915,Ohio,11536504,11539327,11543463,11548369,11576576,11602973,11617850,11635003,11664129,6770010
35.565342,-96.928917,Oklahoma,3751351,3759632,3787821,3818600,3853205,3878367,3909831,3926769,3932640,6902149
44.572021,-122.070938,Oregon,3831074,3837532,3871728,3899118,3922908,3964106,4016918,4091404,4146592,7171646
40.590752,-77.209755,Pennsylvania,12702379,12711158,12744583,12766827,12776621,12789101,12785759,12783538,12790447,7535591
41.680893,-71.51178,Rhode Island,1052567,1053938,1053536,1054601,1055122,1056017,1056173,1057063,1056486,8517685
33.856892,-80.945007,South Carolina,4625364,4635656,4671422,4717112,4764153,4823793,4892253,4958235,5021219,8908520
44.299782,-99.438828,South Dakota,814180,816165,823484,833496,842270,849088,853933,862890,873286,9995915
35.747845,-86.692345,Tennessee,6346105,6355301,6397410,6451281,6493432,6540826,6590808,6645011,6708794,10383620
31.054487,-97.563461,Texas,25145561,25242679,25646227,26089620,26489464,26977142,27486814,27937492,28322717,10519475
40.150032,-111.862434,Utah,2763885,2775334,2814216,2853467,2897927,2937399,2982497,3042613,3103118,11689442
44.045876,-72.710686,Vermont,625741,625880,626979,626063,626212,625218,625197,623644,624525,12741080
37.769337,-78.169968,Virginia,8001024,8023680,8100469,8185229,8253053,8312076,8362907,8410946,8465207,12807060
47.400902,-121.490494,Washington,6724540,6742902,6821655,6892876,6962906,7052439,7163543,7294680,7425432,19542209
38.491226,-80.954453,West Virginia,1852994,1854214,1856074,1856764,1853873,1849467,1841996,1830929,1817048,21299325
44.268543,-89.616508,Wisconsin,5686986,5690479,5704755,5719855,5736952,5751974,5761406,5772958,5792051,28701845
42.755966,-107.30249,Wyoming,563626,564483,567224,576270,582123,582548,585668,584290,578934,39557045